Date,PEP
2010-01-05,0.012011053033432972
2010-01-06,-0.010053230753561238
2010-01-07,-0.006376427492011505
2010-01-08,-0.003285614076156129
2010-01-11,-0.00115290874809304
2010-01-12,0.013906429264565201
2010-01-13,0.00809086417947702
2010-01-14,0.012014072517926966
2010-01-15,-0.008154117863501398
2010-01-19,0.0006420955412420604
2010-01-20,-0.006114914360952017
2010-01-21,-0.016438081272061034
2010-01-22,-0.009066127581170313
2010-01-25,-0.002653350212612704
2010-01-26,0.0003322859074561535
2010-01-27,0.0006634169097341491
2010-01-28,-0.009164115256387273
2010-01-29,-0.0020105507072085693
2010-02-01,0.01795209293349176
2010-02-02,0.007386292530696448
2010-02-03,0.0022869424797442583
2010-02-04,-0.027290579937073733
2010-02-05,-0.0021818844576846352
2010-02-08,-0.00928520945429634
2010-02-09,0.018318651768891137
2010-02-10,0.00548026352447506
2010-02-11,0.013325675100564816
2010-02-12,-0.00442242841244056
2010-02-16,0.006381646738769398
2010-02-17,0.012964134993423748
2010-02-18,0.006739550941678996
2010-02-19,0.002076516199474021
2010-02-22,-0.003997471797413166
2010-02-23,-0.010145604632386895
2010-02-24,0.004844370308975776
2010-02-25,0.0035370444027686965
2010-02-26,0.002725128978342095
2010-03-01,0.015250460217388184
2010-03-02,0.005815900285719877
2010-03-03,0.009896012969548007
2010-03-04,0.0020300119233653824
2010-03-05,0.004047415353294337
2010-03-08,-0.0034240014755608783
2010-03-09,0.0032682620910255977
2010-03-10,0.0010870832189389112
2010-03-11,0.008346326616183397
2010-03-12,0.0019989204886354806
2010-03-15,0.016000117375073675
2010-03-16,-0.0012101383586688996
2010-03-17,0.0075392413649524315
2010-03-18,-0.0007507783285087832
2010-03-19,0.0006006492250700823
2010-03-22,-0.0037627097639840734
2010-03-23,0.008260126801316048
2010-03-24,-0.009014407916992706
2010-03-25,0.004366746598109206
2010-03-26,0.0006007491532575848
2010-03-29,-0.0006007491532575848
2010-03-30,0.003300447946108509
2010-03-31,-0.009177652108318668
2010-04-01,0.007828898669060003
2010-04-05,-0.010552961726208565
2010-04-06,0.006194190797338628
2010-04-07,-0.006043115859631243
2010-04-08,-0.00030310720621828935
2010-04-09,0.005894267906299433
2010-04-12,-0.0006030177554414706
2010-04-13,0.0010549729149915699
2010-04-14,-0.0015072192359020242
2010-04-15,-0.0003020143318388513
2010-04-16,-0.001963315582349967
2010-04-19,-0.00030241965786714786
2010-04-20,-0.0033330406719342953
2010-04-21,0.0012138186825536579
2010-04-22,-0.018664026737674533
2010-04-23,-0.0007724369081678617
2010-04-26,0.004779025788038016
2010-04-27,-0.012224303446764395
2010-04-28,0.008063103530442817
