Date,XOM
2010-01-04,3.62782748298211
2010-01-05,3.6317244959349515
2010-01-06,3.6403302782461044
2010-01-07,3.6371832264510715
2010-01-08,3.633163693768406
2010-01-11,3.6443208656442154
2010-01-12,3.6393298625915613
2010-01-13,3.635318966437102
2010-01-14,3.6354626338003198
2010-01-15,3.627248688658984
2010-01-19,3.6295614538624963
2010-01-20,3.6114976816300026
2010-01-21,3.5917547705112858
2010-01-22,3.5827179551841106
2010-01-25,3.5789285567980387
2010-01-26,3.579991334339081
2010-01-27,3.574209843312588
2010-01-28,3.5653215500386044
2010-01-29,3.5571285929731613
2010-02-01,3.5839277692275324
2010-02-02,3.5956450507520055
2010-02-03,3.5902539435127934
2010-02-04,3.5616196615495928
2010-02-05,3.5628549313168154
2010-02-08,3.5623890159491722
2010-02-09,3.5755111714653514
2010-02-10,3.57012890096472
2010-02-11,3.5761247465062675
2010-02-12,3.5693574199596414
2010-02-16,3.591940350524494
2010-02-17,3.5840637619027786
2010-02-18,3.5871000295391617
2010-02-19,3.585735151156759
2010-02-22,3.57857433044114
2010-02-23,3.5715157684033567
2010-02-24,3.5808653718626893
2010-02-25,3.5745906370073706
2010-02-26,3.5724393507204075
2010-03-01,3.57857433044114
2010-03-02,3.579949117154203
2010-03-03,3.5790327672350903
2010-03-04,3.57857433044114
2010-03-05,3.594802282305865
2010-03-08,3.59495314679108
2010-03-09,3.599455598569267
2010-03-10,3.6060231402674963
2010-03-11,3.6060231402674963
2010-03-12,3.599755278777069
2010-03-15,3.592241660785148
2010-03-16,3.596305928475016
2010-03-17,3.6081035551673404
2010-03-18,3.6085488622551747
2010-03-19,3.6033416488097574
2010-03-22,3.602296445222652
2010-03-23,3.6019981498412417
2010-03-24,3.5952539696780095
2010-03-25,3.592241660785148
2010-03-26,3.595855553433918
2010-03-29,3.607212449137255
2010-03-30,3.6034908151147786
2010-03-31,3.602446183415062
2010-04-01,3.6118080934773085
2010-04-05,3.6203498247923482
2010-04-06,3.6160878741172984
2010-04-07,3.6078061598865987
2010-04-08,3.61549865093349
2010-04-09,3.6286741822433055
2010-04-12,3.6279463843397886
2010-04-13,3.6272189692572994
2010-04-14,3.626490314109216
2010-04-15,3.621376031743477
2010-04-16,3.6165299482386177
2010-04-19,3.620936299382259
2010-04-20,3.6317234861651255
2010-04-21,3.630998713364814
2010-04-22,3.625761229216519
2010-04-23,3.635630621974347
2010-04-26,3.6363525492175413
2010-04-27,3.6215225322336893
2010-04-28,3.6349084751435097
2010-04-29,3.6272189692572994
2010-04-30,3.614171705079422
2010-05-03,3.6152040630849043
2010-05-04,3.594802282305865
2010-05-05,3.5902794143040597
2010-05-06,3.5552149741947976
2010-05-07,3.5522364269274918
2010-05-10,3.575971121120347
2010-05-11,3.57086501837653
2010-05-12,3.5778219152173385
2010-05-13,3.5751991139660384
2010-05-14,3.55743394082161
2010-05-17,3.552231725682586
2010-05-18,3.544615625555379
2010-05-19,3.539186406965741
2010-05-20,3.5046499121967947
2010-05-21,3.5137247276763857
2010-05-24,3.5023259327155634
2010-05-25,3.494319579238724
2010-05-26,3.487597775429029
2010-05-27,3.5232069735921026
2010-05-28,3.50680204628517
2010-06-01,3.4865858358097963
2010-06-02,3.511916135914273
2010-06-03,3.524832581423182
2010-06-04,3.491300375043915
2010-06-07,3.4874293454572407
2010-06-08,3.5196208552788515
2010-06-09,3.499664264285242
2010-06-10,3.530178582526438
2010-06-11,3.5296939446702695
2010-06-14,3.521741381895705
2010-06-15,3.5401461865857287
2010-06-16,3.5401461865857287
2010-06-17,3.5415850702816587
2010-06-18,3.549540848747133
2010-06-21,3.5500161842734173
2010-06-22,3.530986684143408
2010-06-23,3.517332014454533
2010-06-24,3.5003307776915604
2010-06-25,3.4840512634871197
2010-06-28,3.4733340928588916
2010-06-29,3.452946577842907
2010-06-30,3.4490989321760055
2010-07-01,3.441005740068265
2010-07-02,3.4402992085772297
2010-07-06,3.455909460274852
2010-07-07,3.4726495712451757
2010-07-08,3.479132156314492
2010-07-09,3.4786218952861447
2010-07-12,3.4813404401822883
2010-07-13,3.4894507306832234
2010-07-14,3.486754758091298
2010-07-15,3.4869236518428814
2010-07-16,3.4645729362430746
2010-07-19,3.4726495712451757
2010-07-20,3.481510016093292
2010-07-21,3.468189198418788
2010-07-22,3.4887779719751775
2010-07-23,3.494487316097056
2010-07-26,3.505643974265305
2010-07-27,3.5125746495305377
2010-07-28,3.514217278592264
2010-07-29,3.5048153521375727
2010-07-30,3.493817011142309
2010-08-02,3.530986684143408
2010-08-03,3.5435005507454873
2010-08-04,3.5435005507454873
2010-08-05,3.543341058244551
2010-08-06,3.531470919295535
2010-08-09,3.539186406965741
2010-08-10,3.5308246245861103
2010-08-11,3.5127741548853133
2010-08-12,3.51012103034065
2010-08-13,3.504794143418266
2010-08-16,3.504293028225824
2010-08-17,3.519869326953456
2010-08-18,3.5087917666469326
2010-08-19,3.4943910561882783
2010-08-20,3.4876220344726967
2010-08-23,3.4979266618218876
2010-08-24,3.488470613928366
2010-08-25,3.487961016360702
2010-08-26,3.4806350714258842
2010-08-27,3.5029559897655287
2010-08-30,3.489487866544427
2010-08-31,3.491350572353048
2010-09-01,3.5213474731137513
2010-09-02,3.523807367354116
2010-09-03,3.528056177678884
