Date,KO
2010-01-04,2.851650204674169
2010-01-05,2.8394798407938806
2010-01-06,2.8391244395924256
2010-01-07,2.836636330803829
2010-01-08,2.817954174467363
2010-01-11,2.8380587057009197
2010-01-12,2.8488408084852312
2010-01-13,2.8514749448504815
2010-01-14,2.853226822242718
2010-01-15,2.8384140393401127
2010-01-19,2.8407205797737403
2010-01-20,2.8242804956022582
2010-01-21,2.803710000365211
2010-01-22,2.8013155791363276
2010-01-25,2.80334211643162
2010-01-26,2.7994709678794867
2010-01-27,2.8062817511550358
2010-01-28,2.800209104781534
2010-01-29,2.801500432318141
2010-02-01,2.8038939493600936
2010-02-02,2.816139343879241
2010-02-03,2.812864073847747
2010-02-04,2.786269582863413
2010-02-05,2.7798861308091047
2010-02-08,2.771563891459599
2010-02-09,2.7970667118187413
2010-02-10,2.7929852140902596
2010-02-11,2.800947508372683
2010-02-12,2.796510864672514
2010-02-16,2.8119520958113102
2010-02-17,2.821212501812914
2010-02-18,2.831640901931316
2010-02-19,2.8282367136418003
2010-02-22,2.822115736995117
2010-02-23,2.8121352225717526
2010-02-24,2.8181349525620614
2010-02-25,2.780451056822668
2010-02-26,2.7728920638689636
2010-03-01,2.783270909662507
2010-03-02,2.783833927296176
2010-03-03,2.795584309282624
2010-03-04,2.8055476233772647
2010-03-05,2.809761258574202
2010-03-08,2.8053635168884443
2010-03-09,2.800209104781534
2010-03-10,2.800578722488807
2010-03-11,2.797597718565793
2010-03-12,2.7929223723884853
2010-03-15,2.798530193680588
2010-03-16,2.799461567998633
2010-03-17,2.8020653199319345
2010-03-18,2.8041061650480423
2010-03-19,2.8188257545899322
2010-03-22,2.8149832330648623
2010-03-23,2.8288214118464854
2010-03-24,2.8164485858577315
2010-03-25,2.819738652648244
2010-03-26,2.8169980246700654
2010-03-29,2.8191911731191244
2010-03-30,2.8210149025973075
2010-03-31,2.823382160417768
2010-04-01,2.8288214118464854
2010-04-05,2.820833281297889
2010-04-06,2.810389112240167
2010-04-07,2.8016935882304184
2010-04-08,2.800578954326551
2010-04-09,2.8158991874659502
2010-04-12,2.819008651248993
2010-04-13,2.8237453517200324
2010-04-14,2.822471903517392
2010-04-15,2.809835569798487
2010-04-16,2.822836105711688
2010-04-19,2.829183309279104
2010-04-20,2.8136989137526838
2010-04-21,2.8085449629146706
2010-04-22,2.8107571671658746
2010-04-23,2.8028079063952855
2010-04-26,2.8000201852643394
2010-04-27,2.7838846128059185
2010-04-28,2.793110184920829
2010-04-29,2.800205973809676
2010-04-30,2.7947950647835564
2010-05-03,2.800578954326551
2010-05-04,2.789730712913256
2010-05-05,2.7987166076347405
2010-05-06,2.773045070466778
2010-05-07,2.7800943919864123
2010-05-10,2.805773442066116
2010-05-11,2.7977843064111654
2010-05-12,2.8054030864934325
2010-05-13,2.795543533703136
2010-05-14,2.7927351087345578
2010-05-17,2.7940466186315778
2010-05-18,2.7882255340701665
2010-05-19,2.788601835928536
2010-05-20,2.758407038524881
2010-05-21,2.7593765842621862
2010-05-24,2.756852959748383
2010-05-25,2.7403956975775485
2010-05-26,2.729670213098405
2010-05-27,2.7523738700980354
2010-05-28,2.755686571419715
2010-06-01,2.7535443694688073
2010-06-02,2.7751458271794074
2010-06-03,2.7816123227802034
2010-06-04,2.75315378799449
2010-06-07,2.7439449766938377
2010-06-08,2.758794909196848
2010-06-09,2.7547134396927633
2010-06-10,2.775908905087462
2010-06-11,2.768963381829159
2010-06-14,2.766249086686805
2010-06-15,2.7791722705732167
2010-06-16,2.7833795289446592
2010-06-17,2.7826161136181002
2010-06-18,2.781660640231301
2010-06-21,2.7849052021608123
2010-06-22,2.784523972572426
2010-06-23,2.780321654833553
2010-06-24,2.7718628915475536
2010-06-25,2.7416824094776695
2010-06-28,2.7578656902569825
2010-06-29,2.74307472201795
2010-06-30,2.738893064916109
2010-07-01,2.737095603442221
2010-07-02,2.7374954077996594
2010-07-06,2.745059149058656
2010-07-07,2.7654722358183372
2010-07-08,2.7837613128801078
2010-07-09,2.7833795289446592
2010-07-12,2.7843331265372386
2010-07-13,2.789467719187609
2010-07-14,2.7913629142353824
2010-07-15,2.791930515826362
2010-07-16,2.7828069335964334
2010-07-19,2.7808959110480136
2010-07-20,2.799283069541567
2010-07-21,2.8149368419825453
2010-07-22,2.8182603503028454
2010-07-23,2.827250508141213
2010-07-26,2.8307144025165187
2010-07-27,2.832714840846079
2010-07-28,2.8296223227874537
2010-07-29,2.8316241581336143
2010-07-30,2.8338038867428343
2010-08-02,2.857119239488589
2010-08-03,2.856587468400602
2010-08-04,2.8595981620765794
2010-08-05,2.8564098927224784
2010-08-06,2.863128620786134
2010-08-09,2.869452422260769
2010-08-10,2.8671728924080924
2010-08-11,2.85053886127594
2010-08-12,2.8442735910818566
2010-08-13,2.844991817803821
2010-08-16,2.8476795601372387
2010-08-17,2.8519649563197698
2010-08-18,2.846963704581602
2010-08-19,2.8368841908045583
2010-08-20,2.83724552924944
2010-08-23,2.842655664609476
2010-08-24,2.8437347210897075
2010-08-25,2.8388721139450963
2010-08-26,2.834710837293822
2010-08-27,2.8526777920822655
2010-08-30,2.841756339276321
2010-08-31,2.8476795601372387
2010-09-01,2.8729481065544276
2010-09-02,2.8741688171448327
2010-09-03,2.877300624425636
2010-09-07,2.8785162510730746
2010-09-08,2.8819805556660874
2010-09-09,2.8899036061685135
2010-09-10,2.893841661766286
2010-09-13,2.892980043457408
2010-09-14,2.8853693246497936
2010-09-15,2.8824130181341667
2010-09-16,2.883978808727505
2010-09-17,2.8848477880864727
2010-09-20,2.891945670724561
2010-09-21,2.8943577911369265
2010-09-22,2.8964208074149305
2010-09-23,2.8902192643428015
2010-09-24,2.9030962893285195
2010-09-27,2.9027550521998857
2010-09-28,2.9112509297464526
2010-09-29,2.9054812768843217
2010-09-30,2.901388623655721
2010-10-01,2.9115891767957747
2010-10-04,2.9075217039766015
2010-10-05,2.9206816416834775
2010-10-06,2.9230256164862563
2010-10-07,2.916987175045059
2010-10-08,2.9164827003501035
2010-10-11,2.9190043862351547
2010-10-12,2.9196756466152407
2010-10-13,2.925364007596834
2010-10-14,2.924863537461742
2010-10-15,2.925364007596834
2010-10-18,2.926364810388365
2010-10-19,2.932015354912802
2010-10-20,2.9453498752739895
2010-10-21,2.9505696409627045
2010-10-22,2.952844773620735
2010-10-25,2.9430578080858747
2010-10-26,2.9468206277399105
2010-10-27,2.9460037878288197
2010-10-28,2.9463307842195907
2010-10-29,2.9481261053358248
2010-11-01,2.9544662649479974
2010-11-02,2.956894177623091
2010-11-03,2.958347368170467
2010-11-04,2.9663865538104797
2010-11-05,2.9684659969913803
2010-11-08,2.966546128307632
2010-11-09,2.969424110295713
2010-11-10,2.9679862526994096
2010-11-11,2.971975316431873
2010-11-12,2.9738844100539623
2010-11-15,2.9745199330624392
2010-11-16,2.9604440721420464
2010-11-17,2.9675063762399976
2010-11-18,2.9884001229153125
2010-11-19,2.9958906663131506
2010-11-22,2.9951130518770346
2010-11-23,2.9849480713764422
2010-11-24,3.000389077366619
2010-11-26,2.992620461329146
2010-11-29,2.9882131546777506
2010-11-30,2.9847365442054032
2010-12-01,3.008667903503943
2010-12-02,3.011754655130635
2010-12-03,3.0055722553678232
2010-12-06,2.9976338076921523
2010-12-07,2.9999750265399294
2010-12-08,3.003864949844054
2010-12-09,3.010675342656952
2010-12-10,3.0078951720596305
2010-12-13,3.0109838365366786
2010-12-14,2.9962262501907704
2010-12-15,3.009286223526549
2010-12-16,3.018511334893953
2010-12-17,3.024005956625458
2010-12-20,3.018052402696719
2010-12-21,3.0208045160158483
2010-12-22,3.0223299537759636
2010-12-23,3.0221775518219705
2010-12-27,3.0143705348786582
2010-12-28,3.0188171416597362
2010-12-29,3.020193465415002
2010-12-30,3.0209569413671296
2010-12-31,3.0250707990641774
2011-01-03,3.0166731269537492
2011-01-04,2.9957570687788135
2011-01-05,2.9897892796346266
2011-01-06,2.982517731757987
2011-01-07,2.9807709603013017
2011-01-10,2.9829938407661847
2011-01-11,2.97710842129171
2011-01-12,2.9826763955348965
2011-01-13,2.9883706292206926
2011-01-14,2.9841030448595283
2011-01-18,2.989631836450207
2011-01-19,2.988686368307564
2011-01-20,2.980929804658124
2011-01-21,2.9783841947876266
2011-01-24,2.986002051302906
2011-01-25,2.981406573369452
2011-01-26,2.981406573369452
2011-01-27,2.977268042731782
2011-01-28,2.969422641649618
2011-01-31,2.979657567456831
2011-02-01,2.9828350341416057
2011-02-02,2.9798169763438214
2011-02-03,2.975192823585855
2011-02-04,2.975032870525847
2011-02-07,2.9743932894350014
2011-02-08,2.9799761660597848
2011-02-09,2.984419555340418
2011-02-10,2.9905769866893914
