Date,PEP
2010-01-04,3.627707756418784
2010-01-05,3.639718809452217
2010-01-06,3.629665578698656
2010-01-07,3.6232891512066443
2010-01-08,3.620003537130488
2010-01-11,3.618850628382395
2010-01-12,3.6327570576469603
2010-01-13,3.6408479218264374
2010-01-14,3.6528619943443643
2010-01-15,3.644707876480863
2010-01-19,3.645349972022105
2010-01-20,3.639235057661153
2010-01-21,3.622796976389092
2010-01-22,3.6137308488079216
2010-01-25,3.611077498595309
2010-01-26,3.611409784502765
2010-01-27,3.612073201412499
2010-01-28,3.602909086156112
2010-01-29,3.6008985354489034
2010-02-01,3.618850628382395
2010-02-02,3.6262369209130916
2010-02-03,3.628523863392836
2010-02-04,3.601233283455762
2010-02-05,3.5990513989980775
2010-02-08,3.589766189543781
2010-02-09,3.6080848413126723
2010-02-10,3.6135651048371473
2010-02-11,3.626890779937712
2010-02-12,3.6224683515252716
2010-02-16,3.628849998264041
2010-02-17,3.6418141332574647
2010-02-18,3.6485536841991437
2010-02-19,3.6506302003986177
2010-02-22,3.6466327286012046
2010-02-23,3.6364871239688177
2010-02-24,3.6413314942777935
2010-02-25,3.644868538680562
2010-02-26,3.6475936676589042
2010-03-01,3.6628441278762924
2010-03-02,3.6686600281620123
2010-03-03,3.6785560411315603
2010-03-04,3.6805860530549257
2010-03-05,3.68463346840822
2010-03-08,3.681209466932659
2010-03-09,3.6844777290236848
2010-03-10,3.6855648122426237
2010-03-11,3.693911138858807
2010-03-12,3.6959100593474425
2010-03-15,3.711910176722516
2010-03-16,3.7107000383638473
2010-03-17,3.7182392797287998
2010-03-18,3.717488501400291
2010-03-19,3.718089150625361
2010-03-22,3.714326440861377
2010-03-23,3.722586567662693
2010-03-24,3.7135721597457003
2010-03-25,3.7179389063438095
2010-03-26,3.718539655497067
2010-03-29,3.7179389063438095
2010-03-30,3.721239354289918
2010-03-31,3.7120617021815994
2010-04-01,3.7198906008506594
2010-04-05,3.709337639124451
2010-04-06,3.7155318299217894
2010-04-07,3.709488714062158
2010-04-08,3.70918560685594
2010-04-09,3.7150798747622393
2010-04-12,3.714476857006798
2010-04-13,3.7155318299217894
2010-04-14,3.7140246106858874
2010-04-15,3.7137225963540486
2010-04-16,3.7117592807716986
2010-04-19,3.7114568611138314
2010-04-20,3.708123820441897
2010-04-21,3.709337639124451
2010-04-22,3.6906736123867763
2010-04-23,3.6899011754786084
2010-04-26,3.6946802012666464
2010-04-27,3.682455897819882
2010-04-28,3.690519001350325
2010-04-29,3.697444903393236
2010-04-30,3.697751495190124
2010-05-03,3.7049321492960936
2010-05-04,3.7009666012821607
2010-05-05,3.697444903393236
2010-05-06,3.6897464449595057
2010-05-07,3.6877356307943123
2010-05-10,3.715833298415439
2010-05-11,3.7179389063438095
2010-05-12,3.7237822311824478
2010-05-13,3.7168867493111244
2010-05-14,3.7107000383638473
2010-05-17,3.720940065548619
2010-05-18,3.7176383500437113
2010-05-19,3.71024598702118
2010-05-20,3.676678496988023
2010-05-21,3.6722844815824898
2010-05-24,3.6681866716834843
2010-05-25,3.661372746012313
2010-05-26,3.6346226721077737
2010-05-27,3.6615316352971528
2010-05-28,3.661372746012313
2010-06-01,3.659303509429624
2010-06-02,3.6780732721622136
2010-06-03,3.676653589839554
2010-06-04,3.6457238395807416
2010-06-07,3.650433198376332
2010-06-08,3.6652267926446984
2010-06-09,3.6626699789309294
2010-06-10,3.684043043779204
2010-06-11,3.6796475559983475
2010-06-14,3.6841994257597577
2010-06-15,3.690288944629283
2010-06-16,3.6851388317525196
2010-06-17,3.694173377053804
2010-06-18,3.6877953018749223
2010-06-21,3.686858484802644
2010-06-22,3.6755481691769667
2010-06-23,3.6665028497122663
2010-06-24,3.6612282436457617
2010-06-25,3.6347594932632563
2010-06-28,3.654152140026791
2010-06-29,3.642300036428783
2010-06-30,3.6377168547601504
2010-07-01,3.6470250114556966
2010-07-02,3.6471882846683243
2010-07-06,3.648974096549933
2010-07-07,3.669686178250091
2010-07-08,3.6865459535887934
2010-07-09,3.6787023967774855
2010-07-12,3.682475285996224
2010-07-13,3.677600011432333
2010-07-14,3.6796475559983475
2010-07-15,3.673334333250373
2010-07-16,3.662029605798429
2010-07-19,3.65560390874276
2010-07-20,3.697887885564729
2010-07-21,3.685764963275041
2010-07-22,3.689822098216843
2010-07-23,3.693552679705432
2010-07-26,3.7017424040006475
2010-07-27,3.7126100212518187
2010-07-28,3.7051221749576366
2010-07-29,3.700356518478878
2010-07-30,3.700664858038868
2010-08-02,3.706195587325381
2010-08-03,3.7138265955705205
2010-08-04,3.719890138573728
2010-08-05,3.710933843379181
2010-08-06,3.7158012711226127
2010-08-09,3.7236613935861875
2010-08-10,3.725315930765568
2010-08-11,3.7089496167133444
2010-08-12,3.7048153946362627
2010-08-13,3.7106291210105278
2010-08-16,3.7086440085106815
2010-08-17,3.7104760716891523
2010-08-18,3.7100180903482274
2010-08-19,3.696805986686663
2010-08-20,3.698968804022664
2010-08-23,3.6992770997961015
2010-08-24,3.6986596576597957
2010-08-25,3.6954130486711847
2010-08-26,3.6885753765149585
2010-08-27,3.688419486589721
2010-08-30,3.6802763646230545
2010-08-31,3.689354747790728
2010-09-01,3.707863812046998
2010-09-02,3.709095983891467
2010-09-03,3.7182886386622975
2010-09-07,3.7169146617064506
2010-09-08,3.7161510092959222
2010-09-09,3.726338684175038
2010-09-10,3.731017781594724
2010-09-13,3.7286054502981574
2010-09-14,3.7245214908462145
2010-09-15,3.732371982365805
2010-09-16,3.7340248529105087
2010-09-17,3.7266411371091968
2010-09-20,3.7382195100804108
2010-09-21,3.731770351899001
2010-09-22,3.7347756198757427
2010-09-23,3.7216382358943445
2010-09-24,3.7267926506470834
2010-09-27,3.7304154270893406
2010-09-28,3.7365739276399412
2010-09-29,3.7361242899208578
2010-09-30,3.731469720744935
2010-10-01,3.7398631140447223
2010-10-04,3.7379206301877725
2010-10-05,3.7511418869610114
2010-10-06,3.756294199606159
2010-10-07,3.726338684175038
2010-10-08,3.721029556821271
2010-10-11,3.7175253864521087
2010-10-12,3.726036599179915
2010-10-13,3.7308672727033967
2010-10-14,3.734474888694035
2010-10-15,3.7350747125906114
2010-10-18,3.732371982365805
2010-10-19,3.7158454592347554
2010-10-20,3.709095983891467
2010-10-21,3.7123229504635193
2010-10-22,3.7097113141356117
2010-10-25,3.71032645266902
2010-10-26,3.7063216465688
2010-10-27,3.6982630285392326
2010-10-28,3.7097113141356117
2010-10-29,3.71416233316638
2010-11-01,3.717983555892106
2010-11-02,3.7217897710416517
2010-11-03,3.7126297648182804
2010-11-04,3.7149275051638417
2010-11-05,3.710787465073472
2010-11-08,3.711248358301272
2010-11-09,3.71416233316638
2010-11-10,3.7133962960591442
2010-11-11,3.70801782302269
2010-11-12,3.7040037420252006
2010-11-15,3.7005940737198366
2010-11-16,3.69467783086807
2010-11-17,3.6931150847993868
2010-11-18,3.706012515386175
2010-11-19,3.7050858617332714
2010-11-22,3.704930929261607
2010-11-23,3.6923328425134967
2010-11-24,3.6991961176429946
2010-11-26,3.69248935893533
2010-11-29,3.694209614406189
2010-11-30,3.703848735744787
2010-12-01,3.726657299647024
2010-12-02,3.7200843685212406
2010-12-03,3.719623924023295
2010-12-06,3.7128494322627676
2010-12-07,3.712077077098243
2010-12-08,3.7113030059076877
2010-12-09,3.7126947668251704
2010-12-10,3.7154724911093644
2010-12-13,3.7251329233275063
2010-12-14,3.7260480852235682
2010-12-15,3.720697595388926
2010-12-16,3.7284840025250645
2010-12-17,3.731824894430838
2010-12-20,3.73696528617585
2010-12-21,3.7231469336011904
2010-12-22,3.7274191219859483
2010-12-23,3.727571618679167
2010-12-27,3.7234528407065914
2010-12-28,3.7213102617914813
2010-12-29,3.7220757979554127
2010-12-30,3.718856785489975
2010-12-31,3.7220757979554127
2011-01-03,3.7284840025250645
2011-01-04,3.7233001752733283
2011-01-05,3.741179331341825
2011-01-06,3.7449265697927285
2011-01-07,3.738171034417589
2011-01-10,3.733036944132188
2011-01-11,3.737266904991481
2011-01-12,3.7432793519908683
2011-01-13,3.745972978907786
2011-01-14,3.7440283498936417
2011-01-18,3.7408787999239825
2011-01-19,3.730763110213843
2011-01-20,3.730763110213843
2011-01-21,3.7303078321293652
2011-01-24,3.7350029530680326
