spread,zscore,abs_zscore,beta,delta_beta,abs_delta_beta,zscore_lag1,zscore_lag3,zscore_lag5,delta_zscore,spread_volatility,spread_autocorr,adf_pvalue,label,pair,spread_model
0.11603646129557221,2.004726998556291,2.004726998556291,0.8291632360501013,0.0,0.0,1.8517718126608655,1.8268188195089323,1.6773489304280917,0.15295518589542567,0.009841852712705648,0.8862074334171987,0.651644242472573,1.0,XOM-CVX,OLS
0.11848454450978352,2.066043018625427,2.066043018625427,0.8291632360501013,0.0,0.0,2.004726998556291,1.86311012546661,1.6631055823120802,0.061316020069135835,0.010880906457688298,0.912266964720664,0.7413259869562215,1.0,XOM-CVX,OLS
0.11814822325414243,2.037739453783806,2.037739453783806,0.8291632360501013,0.0,0.0,2.066043018625427,1.8517718126608655,1.8268188195089323,-0.02830356484162122,0.01206671888613179,0.9294483336239452,0.9375851939888004,1.0,XOM-CVX,OLS
0.12074754928705156,2.113843027517198,2.113843027517198,0.8291632360501013,0.0,0.0,1.705997741561916,1.3224555492065346,1.4626329318384845,0.4078452859552819,0.013062116105987525,0.8505686041673314,0.9725679609450529,0.0,XOM-CVX,OLS
0.11847756893102934,2.0183035483699534,2.0183035483699534,0.8291632360501013,0.0,0.0,2.113843027517198,1.9084581834916063,1.308848013623782,-0.09553947914724459,0.013153324195590526,0.8363326272682707,0.9881046217894727,0.0,XOM-CVX,OLS
0.12039512627325655,2.1248858423312535,2.1248858423312535,0.8291632360501013,0.0,0.0,2.0183035483699534,1.705997741561916,1.3224555492065346,0.10658229396130015,0.012580611647029031,0.8201311425055011,0.9846881966215234,0.0,XOM-CVX,OLS
0.11840115844436516,2.1674239468392487,2.1674239468392487,0.8291632360501013,0.0,0.0,1.5900223950426564,1.7726414423291763,1.6373133665087327,0.5774015517965922,0.006064148324068747,0.589367398935901,0.8560907016182326,1.0,XOM-CVX,OLS
0.1263633391848984,2.6172308788203087,2.6172308788203087,0.8291632360501013,0.0,0.0,2.1674239468392487,1.8226051901039741,1.6588758959840124,0.44980693198106003,0.005998574591495861,0.4738668315411892,0.8971246232247153,1.0,XOM-CVX,OLS
0.12361530854951397,2.47509652761746,2.47509652761746,0.8291632360501013,0.0,0.0,2.6172308788203087,1.5900223950426564,1.7726414423291763,-0.14213435120284856,0.006542437585154061,0.4963436071047701,0.945289576605983,1.0,XOM-CVX,OLS
0.12198808284299423,2.36330735015659,2.36330735015659,0.8291632360501013,0.0,0.0,2.47509652761746,2.1674239468392487,1.8226051901039741,-0.11178917746086992,0.006785068200955745,0.5789685190350523,0.9385759404569469,1.0,XOM-CVX,OLS
0.12634850303171374,2.5891077265227658,2.5891077265227658,0.8291632360501013,0.0,0.0,2.36330735015659,2.6172308788203087,1.5900223950426564,0.22580037636617556,0.007018272610651116,0.6167451803195918,0.9262459003021788,1.0,XOM-CVX,OLS
0.1278477255635977,2.645084638072483,2.645084638072483,0.8291632360501013,0.0,0.0,2.5891077265227658,2.47509652761746,2.1674239468392487,0.05597691154971729,0.007200812441803937,0.641199635042496,0.9351310376258288,1.0,XOM-CVX,OLS
0.12920367273376465,2.6760969339447302,2.6760969339447302,0.8291632360501013,0.0,0.0,2.645084638072483,2.36330735015659,2.6172308788203087,0.031012295872247186,0.007651809028578707,0.6894865134344188,0.935516788611553,1.0,XOM-CVX,OLS
0.12769609098444334,2.546641893731433,2.546641893731433,0.8291632360501013,0.0,0.0,2.6760969339447302,2.5891077265227658,2.47509652761746,-0.12945504021329723,0.008185052600766775,0.7379058888479382,0.9391141254205158,1.0,XOM-CVX,OLS
0.12607478840371922,2.426082183900923,2.426082183900923,0.8291632360501013,0.0,0.0,2.546641893731433,2.645084638072483,2.36330735015659,-0.12055970983051001,0.008191266080507714,0.7388829359138553,0.9172820121845526,1.0,XOM-CVX,OLS
0.046002990568863034,-2.124529059328966,2.124529059328966,0.8291632360501013,0.0,0.0,-1.9188374447555436,-1.723968463450605,-1.4825152428821204,-0.20569161457342244,0.009251530433185308,0.9097739262147435,0.9190724134800007,1.0,XOM-CVX,OLS
0.04589192304837564,-2.083038247347977,2.083038247347977,0.8291632360501013,0.0,0.0,-1.940696719993653,-1.9188374447555436,-1.723968463450605,-0.14234152735432404,0.01033112837172184,0.9330622630055019,0.9182635671904587,1.0,XOM-CVX,OLS
0.0380798790919501,-2.2847996283495737,2.2847996283495737,0.8291632360501013,0.0,0.0,-1.8148021784867403,-1.6999977184704669,-1.641030845120894,-0.4699974498628334,0.004036883767660586,0.7607256655680298,0.5022201530136529,0.0,XOM-CVX,OLS
0.042372757538265304,-2.0387866003052277,2.0387866003052277,0.8291632360501013,0.0,0.0,-2.2847996283495737,-1.8553430751066606,-1.6829327853339533,0.246013028044346,0.004922844724033432,0.7137006261367309,0.7960736282064674,0.0,XOM-CVX,OLS
0.03802667539287219,-2.2352047099494077,2.2352047099494077,0.8291632360501013,0.0,0.0,-2.0387866003052277,-1.8148021784867403,-1.6999977184704669,-0.19641810964417994,0.005109980880118542,0.7273056667841395,0.6626065528599645,0.0,XOM-CVX,OLS
0.02786087699116857,-2.715081903696532,2.715081903696532,0.8291632360501013,0.0,0.0,-2.2352047099494077,-2.2847996283495737,-1.8553430751066606,-0.47987719374712423,0.005408546077527278,0.7269575733456674,0.6997801118278049,0.0,XOM-CVX,OLS
0.030717500028710987,-2.526995912519669,2.526995912519669,0.8291632360501013,0.0,0.0,-2.715081903696532,-2.0387866003052277,-1.8148021784867403,0.18808599117686287,0.006817443986660967,0.7956185868988566,0.827448961061202,0.0,XOM-CVX,OLS
0.03173284592711445,-2.4417482124929,2.4417482124929,0.8291632360501013,0.0,0.0,-2.526995912519669,-2.2352047099494077,-2.2847996283495737,0.08524770002676885,0.007635236826063549,0.8325278077899054,0.6851066464266018,0.0,XOM-CVX,OLS
0.03509179723417688,-2.2505901512939444,2.2505901512939444,0.8291632360501013,0.0,0.0,-2.4417482124929,-2.715081903696532,-2.0387866003052277,0.19115806119895584,0.008125648742876971,0.8606533826891641,0.7640829243773204,0.0,XOM-CVX,OLS
0.03544141519822208,-2.2219508966538464,2.2219508966538464,0.8291632360501013,0.0,0.0,-2.2505901512939444,-2.526995912519669,-2.2352047099494077,0.028639254640097978,0.00837278816527262,0.8716740991439113,0.7731632650984555,1.0,XOM-CVX,OLS
0.030396823352588864,-2.4531414442261674,2.4531414442261674,0.8291632360501013,0.0,0.0,-2.2219508966538464,-2.4417482124929,-2.715081903696532,-0.23119054757232105,0.008622554504894018,0.8829047922833015,0.668776832193957,1.0,XOM-CVX,OLS
0.027477255808193046,-2.5648689802541376,2.5648689802541376,0.8291632360501013,0.0,0.0,-2.4531414442261674,-2.2505901512939444,-2.526995912519669,-0.11172753602797014,0.00908158833726685,0.888757927619651,0.7593386066197783,1.0,XOM-CVX,OLS
0.024559917859772185,-2.6661617466010386,2.6661617466010386,0.8291632360501013,0.0,0.0,-2.5648689802541376,-2.2219508966538464,-2.4417482124929,-0.10129276634690099,0.009721505214969289,0.90591370505433,0.9217140454576966,1.0,XOM-CVX,OLS
0.020123612250960043,-2.8357058402042385,2.8357058402042385,0.8291632360501013,0.0,0.0,-2.6661617466010386,-2.4531414442261674,-2.2505901512939444,-0.1695440936032,0.010347637841372626,0.9204404519355762,0.9317971063310396,1.0,XOM-CVX,OLS
0.014533451887749127,-3.0428608596217717,3.0428608596217717,0.8291632360501013,0.0,0.0,-2.8357058402042385,-2.5648689802541376,-2.2219508966538464,-0.20715501941753311,0.010939737994969927,0.9283555221302766,0.9836066721910385,1.0,XOM-CVX,OLS
0.009399093800552816,-3.213029505360055,3.213029505360055,0.8291632360501013,0.0,0.0,-3.0428608596217717,-2.6661617466010386,-2.4531414442261674,-0.17016864573828316,0.01155247360416162,0.9363553671518337,0.9864377329036902,1.0,XOM-CVX,OLS
0.016254031353397203,-2.840942033221286,2.840942033221286,0.8291632360501013,0.0,0.0,-3.213029505360055,-2.8357058402042385,-2.5648689802541376,0.372087472138769,0.012616276637854236,0.945751423369612,0.9898161236915408,1.0,XOM-CVX,OLS
0.02009620590457395,-2.6210184994701655,2.6210184994701655,0.8291632360501013,0.0,0.0,-2.840942033221286,-3.0428608596217717,-2.6661617466010386,0.21992353375112028,0.012679436108622122,0.9329685074787526,0.9726633686228184,1.0,XOM-CVX,OLS
0.026987123488115827,-2.28298473749743,2.28298473749743,0.8291632360501013,0.0,0.0,-2.6210184994701655,-3.213029505360055,-2.8357058402042385,0.3380337619727354,0.012209867783804937,0.9240171879762964,0.9532755635218337,0.0,XOM-CVX,OLS
