spread,zscore,abs_zscore,beta,delta_beta,abs_delta_beta,zscore_lag1,zscore_lag3,zscore_lag5,delta_zscore,spread_volatility,spread_autocorr,adf_pvalue,label,pair,spread_model
0.0911159992837618,2.055807773621184,2.055807773621184,0.7943230953448571,0.0,0.0,1.891232358207757,1.1339106853077718,0.802855333557337,0.16457541541342713,0.02735980335227638,0.926010382110257,0.9987446578493004,1.0,KO-PEP,OLS
0.09381557770731286,2.088286123359278,2.088286123359278,0.7943230953448571,0.0,0.0,2.055807773621184,1.7177613967742211,1.2380617687393753,0.032478349738093826,0.030761435468796363,0.9420140554881433,0.9989952979021525,1.0,KO-PEP,OLS
0.09054288646937803,2.006630674634002,2.006630674634002,0.7943230953448571,0.0,0.0,1.9944446363833161,2.055807773621184,1.7177613967742211,0.01218603825068576,0.033868818001878284,0.9500416752313537,0.9976250027775853,1.0,KO-PEP,OLS
0.09928323223064606,2.0454583913650946,2.0454583913650946,0.7943230953448571,0.0,0.0,1.9316798882812967,1.8028384449445263,1.7759798060091048,0.11377850308379789,0.01414096542203844,0.7669715618063004,0.9110159873914805,0.0,KO-PEP,OLS
0.10547275949657609,2.1520499401603126,2.1520499401603126,0.7943230953448571,0.0,0.0,2.0454583913650946,1.8548570920976135,1.869394783627939,0.10659154879521804,0.014544329877937918,0.7766663938796243,0.9281774325400693,0.0,KO-PEP,OLS
0.10047463699660408,2.028685064677092,2.028685064677092,0.7943230953448571,0.0,0.0,1.9391112538646527,2.1520499401603126,1.9316798882812967,0.08957381081243931,0.016138520755747076,0.8146714657864967,0.8436524072691425,0.0,KO-PEP,OLS
0.1010463889163109,2.016952783412536,2.016952783412536,0.7943230953448571,0.0,0.0,1.9668252057118443,1.9391112538646527,2.1520499401603126,0.05012757770069176,0.017286603522555743,0.8371301928870715,0.810078093439546,0.0,KO-PEP,OLS
0.10450591288049704,2.0696985395249703,2.0696985395249703,0.7943230953448571,0.0,0.0,2.016952783412536,2.028685064677092,1.8308215984508944,0.05274575611243426,0.017846066907294317,0.8980261583089595,0.7982427871615627,0.0,KO-PEP,OLS
0.10497213303447239,2.0639379490949796,2.0639379490949796,0.7943230953448571,0.0,0.0,2.0696985395249703,1.9668252057118443,1.9391112538646527,-0.005760590429990664,0.0171459095042838,0.8885280408289027,0.8014955179464616,0.0,KO-PEP,OLS
0.11125503827398919,2.1722015057867843,2.1722015057867843,0.7943230953448571,0.0,0.0,2.0639379490949796,2.016952783412536,2.028685064677092,0.10826355669180465,0.01576987907553131,0.8730571559341944,0.7623082825536611,0.0,KO-PEP,OLS
