Date,KO,PEP
2010-01-04,17.316333770751953,37.626468658447266
2010-01-05,17.10686492919922,38.08112716674805
2010-01-06,17.100786209106445,37.7002067565918
2010-01-07,17.058290481567383,37.46057891845703
2010-01-08,16.742563247680664,37.33769989013672
2010-01-11,17.082571029663086,37.294677734375
2010-01-12,17.26775360107422,37.81693649291992
2010-01-13,17.31329917907715,38.124149322509766
2010-01-14,17.343656539916992,38.584938049316406
2010-01-15,17.088642120361328,38.27159118652344
2010-01-19,17.128103256225586,38.296173095703125
2010-01-20,16.848817825317383,38.06270980834961
2010-01-21,16.505769729614258,37.44214630126953
2010-01-22,16.46629524230957,37.104225158691406
2010-01-25,16.499698638916016,37.00590515136719
2010-01-26,16.435949325561523,37.01820373535156
2010-01-27,16.54827308654785,37.04277038574219
2010-01-28,16.44808578491211,36.704856872558594
2010-01-29,16.46933937072754,36.631134033203125
2010-02-01,16.508806228637695,37.294677734375
2010-02-02,16.71220588684082,37.5711669921875
2010-02-03,16.65755844116211,37.657188415527344
2010-02-04,16.22039794921875,36.64339828491211
2010-02-05,16.117185592651367,36.563533782958984
2010-02-08,15.983611106872559,36.22560501098633
2010-02-09,16.396480560302734,36.89532470703125
2010-02-10,16.329694747924805,37.09807586669922
2010-02-11,16.460235595703125,37.595741271972656
2010-02-12,16.38736915588379,37.42984390258789
2010-02-16,16.64237403869629,37.669471740722656
2010-02-17,16.797204971313477,38.16100311279297
2010-02-18,16.973289489746094,38.41905975341797
2010-02-19,16.915607452392578,38.49892044067383
2010-02-22,16.8123836517334,38.34532928466797
2010-02-23,16.645421981811523,37.95825958251953
2010-02-24,16.745590209960938,38.1425895690918
2010-02-25,16.126293182373047,38.277740478515625
2010-02-26,16.004854202270508,38.38219451904297
2010-03-01,16.171831130981445,38.97202682495117
2010-03-02,16.180938720703125,39.199344635009766
2010-03-03,16.3721923828125,39.58918762207031
2010-03-04,16.536128997802734,39.66963577270508
2010-03-05,16.605953216552734,39.83052062988281
2010-03-08,16.533084869384766,39.694374084472656
2010-03-09,16.44808578491211,39.824317932128906
2010-03-10,16.454166412353516,39.86763381958008
2010-03-11,16.405189514160156,40.20177459716797
2010-03-12,16.32866859436035,40.2822151184082
2010-03-15,16.420494079589844,40.93191909790039
2010-03-16,16.435794830322266,40.882415771484375
2010-03-17,16.47864532470703,41.191802978515625
2010-03-18,16.512310028076172,41.160888671875
2010-03-19,16.75716209411621,41.18561935424805
2010-03-22,16.692895889282227,41.030941009521484
2010-03-23,16.925500869750977,41.37126541137695
2010-03-24,16.717374801635742,41.000003814697266
2010-03-25,16.7724666595459,41.1794319152832
2010-03-26,16.7265625,41.20417785644531
2010-03-29,16.763286590576172,41.1794319152832
2010-03-30,16.793886184692383,41.31556701660156
2010-03-31,16.833688735961914,40.9381217956543
2010-04-01,16.925500869750977,41.25988006591797
2010-04-05,16.790836334228516,40.82675552368164
2010-04-06,16.616382598876953,41.08042907714844
2010-04-07,16.47252082824707,40.832923889160156
2010-04-08,16.45417022705078,40.82054901123047
2010-04-09,16.708192825317383,41.061866760253906
2010-04-12,16.76022720336914,41.037113189697266
2010-04-13,16.83980369567871,41.08042907714844
2010-04-14,16.81837272644043,41.018558502197266
2010-04-15,16.607187271118164,41.00617218017578
2010-04-16,16.824499130249023,40.925743103027344
2010-04-19,16.93162727355957,40.913368225097656
2010-04-20,16.671470642089844,40.77722930908203
2010-04-21,16.58576774597168,40.82675552368164
2010-04-22,16.622499465942383,40.07183074951172
2010-04-23,16.490886688232422,40.040889739990234
2010-04-26,16.444978713989258,40.232704162597656
2010-04-27,16.181758880615234,39.74388122558594
2010-04-28,16.331735610961914,40.065635681152344
2010-04-29,16.448034286499023,40.34408950805664
2010-04-30,16.359275817871094,40.35646057128906
2010-05-03,16.45417022705078,40.64728927612305
2010-05-04,16.276636123657227,40.486419677734375
2010-05-05,16.423555374145508,40.34408950805664
2010-05-06,16.00730323791504,40.03469467163086
2010-05-07,16.120542526245117,39.95427322387695
2010-05-10,16.53986358642578,41.09281539916992
2010-05-11,16.40825080871582,41.1794319152832
2010-05-12,16.53373908996582,41.42076110839844
2010-05-13,16.371524810791016,41.13612747192383
2010-05-14,16.325611114501953,40.882415771484375
2010-05-17,16.347036361694336,41.30320358276367
2010-05-18,16.252155303955078,41.167057037353516
2010-05-19,16.258272171020508,40.86385726928711
2010-05-20,15.774694442749023,39.51492691040039
2010-05-21,15.789996147155762,39.341678619384766
2010-05-24,15.750198364257812,39.18079376220703
2010-05-25,15.493114471435547,38.91472625732422
2010-05-26,15.327831268310547,37.88755416870117
2010-05-27,15.6798095703125,38.9209098815918
2010-05-28,15.73183822631836,38.91472625732422
2010-06-01,15.698173522949219,38.834285736083984
2010-06-02,16.040966033935547,39.5700798034668
2010-06-03,16.145030975341797,39.51394271850586
2010-06-04,15.69204330444336,38.31049346923828
2010-06-07,15.548201560974121,38.491336822509766
2010-06-08,15.780814170837402,39.06499481201172
2010-06-09,15.716536521911621,38.965240478515625
2010-06-10,16.053211212158203,39.807010650634766
2010-06-11,15.942099571228027,39.632423400878906
2010-06-14,15.898886680603027,39.813236236572266
2010-06-15,16.105684280395508,40.056419372558594
2010-06-16,16.173587799072266,39.85065460205078
2010-06-17,16.161245346069336,40.212318420410156
2010-06-18,16.145811080932617,39.95665740966797
