Date,XOM
2010-01-04,37.63097381591797
2010-01-05,37.77790832519531
2010-01-06,38.10441970825195
2010-01-07,37.98469161987305
2010-01-08,37.83231735229492
2010-01-11,38.25678253173828
2010-01-12,38.06631851196289
2010-01-13,37.913944244384766
2010-01-14,37.91939163208008
2010-01-15,37.60919952392578
2010-01-19,37.69628143310547
2010-01-20,37.02145767211914
2010-01-21,36.29771423339844
2010-01-22,35.97117614746094
2010-01-25,35.83512496948242
2010-01-26,35.87322998046875
2010-01-27,35.66642761230469
2010-01-28,35.3508186340332
2010-01-29,35.062374114990234
2010-02-01,36.01472091674805
2010-02-02,36.4391975402832
2010-02-03,36.24327850341797
2010-02-04,35.22019577026367
2010-02-05,35.263729095458984
2010-02-08,35.2473030090332
2010-02-09,35.71287155151367
2010-02-10,35.52117156982422
2010-02-11,35.73479080200195
2010-02-12,35.493778228759766
2010-02-16,36.30445098876953
2010-02-17,36.01961898803711
2010-02-18,36.129150390625
2010-02-19,36.079872131347656
2010-02-22,35.82243347167969
2010-02-23,35.57046890258789
2010-02-24,35.904598236083984
2010-02-25,35.68001174926758
2010-02-26,35.603336334228516
2010-03-01,35.82243347167969
2010-03-02,35.8717155456543
2010-03-03,35.83885955810547
2010-03-04,35.82243347167969
2010-03-05,36.40850067138672
2010-03-08,36.41399383544922
2010-03-09,36.57831573486328
2010-03-10,36.8193359375
2010-03-11,36.8193359375
2010-03-12,36.58927917480469
2010-03-15,36.315391540527344
2010-03-16,36.463287353515625
2010-03-17,36.89601516723633
2010-03-18,36.91244888305664
2010-03-19,36.72073745727539
2010-03-22,36.682376861572266
2010-03-23,36.67143630981445
2010-03-24,36.424949645996094
2010-03-25,36.315391540527344
2010-03-26,36.446868896484375
2010-03-29,36.86315155029297
2010-03-30,36.72621536254883
2010-03-31,36.687870025634766
2010-04-01,37.03295135498047
2010-04-05,37.35063171386719
2010-04-06,37.1917839050293
2010-04-07,36.88504409790039
2010-04-08,37.16987609863281
2010-04-09,37.66284942626953
2010-04-12,37.63544845581055
2010-04-13,37.60808181762695
2010-04-14,37.5806884765625
2010-04-15,37.388980865478516
2010-04-16,37.208229064941406
2010-04-19,37.37254333496094
2010-04-20,37.777870178222656
2010-04-21,37.7504997253418
2010-04-22,37.55329895019531
2010-04-23,37.92576217651367
2010-04-26,37.95315170288086
2010-04-27,37.39445877075195
2010-04-28,37.89838409423828
2010-04-29,37.60808181762695
2010-04-30,37.12058639526367
2010-05-03,37.15892791748047
2010-05-04,36.40850067138672
2010-05-05,36.24420166015625
2010-05-06,34.99534225463867
2010-05-07,34.89126205444336
2010-05-10,35.72930145263672
2010-05-11,35.54732894897461
2010-05-12,35.79549026489258
2010-05-13,35.70172882080078
2010-05-14,35.073081970214844
2010-05-17,34.89109802246094
2010-05-18,34.626373291015625
2010-05-19,34.43888854980469
2010-05-20,33.26979446411133
2010-05-21,33.57308578491211
2010-05-24,33.19256591796875
2010-05-25,32.92787551879883
2010-05-26,32.70728302001953
2010-05-27,33.892948150634766
2010-05-28,33.34147262573242
2010-06-01,32.67420196533203
2010-06-02,33.512420654296875
2010-06-03,33.948089599609375
2010-06-04,32.828609466552734
2010-06-07,32.70177459716797
2010-06-08,33.77162170410156
2010-06-09,33.10433578491211
2010-06-10,34.130062103271484
2010-06-11,34.113525390625
2010-06-14,33.84331130981445
2010-06-15,34.47195816040039
2010-06-16,34.47195816040039
2010-06-17,34.5215950012207
2010-06-18,34.79733657836914
2010-06-21,34.813880920410156
2010-06-22,34.15765380859375
2010-06-23,33.69441223144531
2010-06-24,33.126407623291016
2010-06-25,32.59149169921875
2010-06-28,32.24406814575195
2010-06-29,31.593347549438477
2010-06-30,31.472021102905273
2010-07-01,31.218339920043945
2010-07-02,31.196290969848633
2010-07-06,31.68709373474121
2010-07-07,32.22200393676758
2010-07-08,32.43156433105469
2010-07-09,32.41501998901367
2010-07-12,32.50326156616211
2010-07-13,32.7679443359375
2010-07-14,32.67972183227539
2010-07-15,32.68524169921875
2010-07-16,31.962806701660156
2010-07-19,32.22200393676758
2010-07-20,32.50877380371094
2010-07-21,32.0786018371582
2010-07-22,32.745906829833984
2010-07-23,32.93339920043945
2010-07-26,33.30288314819336
2010-07-27,33.53449630737305
2010-07-28,33.58962631225586
2010-07-29,33.275299072265625
2010-07-30,32.91133117675781
2010-08-02,34.15765380859375
2010-08-03,34.58778381347656
2010-08-04,34.58778381347656
2010-08-05,34.58226776123047
2010-08-06,34.174198150634766
2010-08-09,34.43888854980469
2010-08-10,34.15211868286133
2010-08-11,33.54118728637695
2010-08-12,33.45231628417969
2010-08-13,33.274593353271484
2010-08-16,33.2579231262207
2010-08-17,33.78001403808594
2010-08-18,33.40787887573242
2010-08-19,32.93022918701172
2010-08-20,32.70807647705078
2010-08-23,33.0468635559082
2010-08-24,32.735843658447266
2010-08-25,32.71916580200195
2010-08-26,32.480342864990234
2010-08-27,33.21348571777344
2010-08-30,32.769161224365234
2010-08-31,32.830257415771484
2010-09-01,33.82998275756836
2010-09-02,33.91330337524414
2010-09-03,34.057701110839844
2010-09-07,33.63003921508789
2010-09-08,33.74112319946289
2010-09-09,33.907745361328125
2010-09-10,33.99106979370117
2010-09-13,33.87997055053711
2010-09-14,33.885528564453125
2010-09-15,33.87997055053711
2010-09-16,33.86331558227539
2010-09-17,33.757789611816406
2010-09-20,34.18545150756836
2010-09-21,34.17989730834961
2010-09-22,34.12990188598633
2010-09-23,33.963294982910156
2010-09-24,34.29653549194336
2010-09-27,34.274322509765625
2010-09-28,34.46870803833008
2010-09-29,34.20766067504883
2010-09-30,34.318748474121094
2010-10-01,34.73530197143555
2010-10-04,34.540924072265625
2010-10-05,35.13521194458008
2010-10-06,35.512882232666016
2010-10-07,35.4628791809082
2010-10-08,35.75726318359375
2010-10-11,35.85169219970703
2010-10-12,35.93498611450195
2010-10-13,36.12384033203125
2010-10-14,36.268245697021484
2010-10-15,36.2071418762207
2010-10-18,36.81254959106445
2010-10-19,36.16825866699219
2010-10-20,36.66257858276367
2010-10-21,36.834754943847656
2010-10-22,36.845855712890625
2010-10-25,36.76810836791992
2010-10-26,36.95139694213867
2010-10-27,36.47373580932617
2010-10-28,36.77922058105469
2010-10-29,36.92917251586914
2010-11-01,37.184669494628906
2010-11-02,37.678985595703125
2010-11-03,37.75117874145508
2010-11-04,38.534305572509766
2010-11-05,38.87865447998047
2010-11-08,39.056400299072266
2010-11-09,39.47557830810547
2010-11-10,39.75503158569336
2010-11-11,40.14625549316406
2010-11-12,39.6767692565918
2010-11-15,39.3917350769043
2010-11-16,38.53102493286133
2010-11-17,38.570152282714844
2010-11-18,39.29671859741211
2010-11-19,39.425270080566406
2010-11-22,39.22964859008789
