Date,KO
2010-01-04,17.316333770751953
2010-01-05,17.10686492919922
2010-01-06,17.100786209106445
2010-01-07,17.058290481567383
2010-01-08,16.742563247680664
2010-01-11,17.082571029663086
2010-01-12,17.26775360107422
2010-01-13,17.31329917907715
2010-01-14,17.343656539916992
2010-01-15,17.088642120361328
2010-01-19,17.128103256225586
2010-01-20,16.848817825317383
2010-01-21,16.505769729614258
2010-01-22,16.46629524230957
2010-01-25,16.499698638916016
2010-01-26,16.435949325561523
2010-01-27,16.54827308654785
2010-01-28,16.44808578491211
2010-01-29,16.46933937072754
2010-02-01,16.508806228637695
2010-02-02,16.71220588684082
2010-02-03,16.65755844116211
2010-02-04,16.22039794921875
2010-02-05,16.117185592651367
2010-02-08,15.983611106872559
2010-02-09,16.396480560302734
2010-02-10,16.329694747924805
2010-02-11,16.460235595703125
2010-02-12,16.38736915588379
2010-02-16,16.64237403869629
2010-02-17,16.797204971313477
2010-02-18,16.973289489746094
2010-02-19,16.915607452392578
2010-02-22,16.8123836517334
2010-02-23,16.645421981811523
2010-02-24,16.745590209960938
2010-02-25,16.126293182373047
2010-02-26,16.004854202270508
2010-03-01,16.171831130981445
2010-03-02,16.180938720703125
2010-03-03,16.3721923828125
2010-03-04,16.536128997802734
2010-03-05,16.605953216552734
2010-03-08,16.533084869384766
2010-03-09,16.44808578491211
2010-03-10,16.454166412353516
2010-03-11,16.405189514160156
2010-03-12,16.32866859436035
2010-03-15,16.420494079589844
2010-03-16,16.435794830322266
2010-03-17,16.47864532470703
2010-03-18,16.512310028076172
2010-03-19,16.75716209411621
2010-03-22,16.692895889282227
2010-03-23,16.925500869750977
2010-03-24,16.717374801635742
2010-03-25,16.7724666595459
2010-03-26,16.7265625
2010-03-29,16.763286590576172
2010-03-30,16.793886184692383
2010-03-31,16.833688735961914
2010-04-01,16.925500869750977
2010-04-05,16.790836334228516
2010-04-06,16.616382598876953
2010-04-07,16.47252082824707
2010-04-08,16.45417022705078
2010-04-09,16.708192825317383
2010-04-12,16.76022720336914
2010-04-13,16.83980369567871
2010-04-14,16.81837272644043
2010-04-15,16.607187271118164
2010-04-16,16.824499130249023
2010-04-19,16.93162727355957
2010-04-20,16.671470642089844
2010-04-21,16.58576774597168
2010-04-22,16.622499465942383
2010-04-23,16.490886688232422
2010-04-26,16.444978713989258
2010-04-27,16.181758880615234
2010-04-28,16.331735610961914
2010-04-29,16.448034286499023
2010-04-30,16.359275817871094
2010-05-03,16.45417022705078
2010-05-04,16.276636123657227
2010-05-05,16.423555374145508
2010-05-06,16.00730323791504
2010-05-07,16.120542526245117
2010-05-10,16.53986358642578
2010-05-11,16.40825080871582
2010-05-12,16.53373908996582
2010-05-13,16.371524810791016
2010-05-14,16.325611114501953
2010-05-17,16.347036361694336
2010-05-18,16.252155303955078
2010-05-19,16.258272171020508
2010-05-20,15.774694442749023
2010-05-21,15.789996147155762
2010-05-24,15.750198364257812
2010-05-25,15.493114471435547
2010-05-26,15.327831268310547
2010-05-27,15.6798095703125
2010-05-28,15.73183822631836
2010-06-01,15.698173522949219
2010-06-02,16.040966033935547
2010-06-03,16.145030975341797
2010-06-04,15.69204330444336
2010-06-07,15.548201560974121
2010-06-08,15.780814170837402
2010-06-09,15.716536521911621
2010-06-10,16.053211212158203
2010-06-11,15.942099571228027
2010-06-14,15.898886680603027
2010-06-15,16.105684280395508
2010-06-16,16.173587799072266
2010-06-17,16.161245346069336
2010-06-18,16.145811080932617
2010-06-21,16.19828224182129
2010-06-22,16.192108154296875
2010-06-23,16.12420654296875
2010-06-24,15.988390922546387
2010-06-25,15.513062477111816
2010-06-28,15.766157150268555
2010-06-29,15.534676551818848
2010-06-30,15.46985149383545
2010-07-01,15.442070007324219
2010-07-02,15.44824504852295
2010-07-06,15.565534591674805
2010-07-07,15.886540412902832
2010-07-08,16.179763793945312
2010-07-09,16.173587799072266
2010-07-12,16.18901824951172
2010-07-13,16.272356033325195
2010-07-14,16.303224563598633
2010-07-15,16.312480926513672
2010-07-16,16.164329528808594
2010-07-19,16.133468627929688
2010-07-20,16.432861328125
2010-07-21,16.692121505737305
2010-07-22,16.747690200805664
2010-07-23,16.89893341064453
2010-07-26,16.957571029663086
2010-07-27,16.991527557373047
2010-07-28,16.939062118530273
2010-07-29,16.973005294799805
2010-07-30,17.010042190551758
2010-08-02,17.411296844482422
2010-08-03,17.402040481567383
2010-08-04,17.454511642456055
2010-08-05,17.398950576782227
2010-08-06,17.51624298095703
2010-08-09,17.627363204956055
2010-08-10,17.58722686767578
2010-08-11,17.297100067138672
2010-08-12,17.189067840576172
2010-08-13,17.201417922973633
2010-08-16,17.247713088989258
2010-08-17,17.32178497314453
2010-08-18,17.235370635986328
2010-08-19,17.062519073486328
2010-08-20,17.06868553161621
2010-08-23,17.161279678344727
2010-08-24,17.179807662963867
2010-08-25,17.096471786499023
2010-08-26,17.025476455688477
2010-08-27,17.334136962890625
2010-08-30,17.14585304260254
2010-08-31,17.247713088989258
2010-09-01,17.689090728759766
2010-09-02,17.710697174072266
2010-09-03,17.766250610351562
2010-09-07,17.787860870361328
2010-09-08,17.849590301513672
2010-09-09,17.991575241088867
2010-09-10,18.06256675720215
2010-09-13,18.04701042175293
2010-09-14,17.910181045532227
2010-09-15,17.857311248779297
2010-09-16,17.88529396057129
2010-09-17,17.900842666625977
2010-09-20,18.028352737426758
2010-09-21,18.07189178466797
2010-09-22,18.10921287536621
2010-09-23,17.997255325317383
2010-09-24,18.230504989624023
2010-09-27,18.224285125732422
2010-09-28,18.379776000976562
2010-09-29,18.274036407470703
2010-09-30,18.199399948120117
2010-10-01,18.38599395751953
2010-10-04,18.31136131286621
2010-10-05,18.553930282592773
2010-10-06,18.597471237182617
2010-10-07,18.485509872436523
2010-10-08,18.476186752319336
2010-10-11,18.522836685180664
2010-10-12,18.535274505615234
2010-10-13,18.641010284423828
2010-10-14,18.631683349609375
2010-10-15,18.641010284423828
2010-10-18,18.65967559814453
2010-10-19,18.765411376953125
2010-10-20,19.017314910888672
2010-10-21,19.116840362548828
2010-10-22,19.160383224487305
2010-10-25,18.97377586364746
2010-10-26,19.045305252075195
2010-10-27,19.029754638671875
2010-10-28,19.035978317260742
2010-10-29,19.0701847076416
2010-11-01,19.191476821899414
2010-11-02,19.238128662109375
2010-11-03,19.26610565185547
2010-11-04,19.421613693237305
2010-11-05,19.4620418548584
2010-11-08,19.424713134765625
2010-11-09,19.480697631835938
2010-11-10,19.452707290649414
