Date,CVX
2010-01-04,41.265445709228516
2010-01-05,41.55775451660156
2010-01-06,41.56294250488281
2010-01-07,41.4063720703125
2010-01-08,41.479461669921875
2010-01-11,42.21539306640625
2010-01-12,41.97007369995117
2010-01-13,41.651702880859375
2010-01-14,41.52121353149414
2010-01-15,41.35418701171875
2010-01-19,41.58906555175781
2010-01-20,40.79048156738281
2010-01-21,39.79354476928711
2010-01-22,38.93232345581055
2010-01-25,38.91145324707031
2010-01-26,38.70267105102539
2010-01-27,38.4677848815918
2010-01-28,38.22768783569336
2010-01-29,37.64311599731445
2010-02-01,38.4051513671875
2010-02-02,38.859249114990234
2010-02-03,38.212039947509766
2010-02-04,37.25164794921875
2010-02-05,37.1524772644043
2010-02-08,36.60441970825195
2010-02-09,37.22031784057617
2010-02-10,36.92802429199219
2010-02-11,37.43955612182617
2010-02-12,37.41846466064453
2010-02-16,38.46181106567383
2010-02-17,38.382789611816406
2010-02-18,38.7938117980957
2010-02-19,39.020389556884766
2010-02-22,38.44602584838867
2010-02-23,37.961219787597656
2010-02-24,38.11930465698242
2010-02-25,37.99811935424805
2010-02-26,38.09823989868164
2010-03-01,38.36697769165039
2010-03-02,38.63571548461914
2010-03-03,38.53558349609375
2010-03-04,38.50925064086914
2010-03-05,39.15210723876953
2010-03-08,39.33129119873047
2010-03-09,39.15210723876953
2010-03-10,38.97296142578125
2010-03-11,38.98878479003906
2010-03-12,38.84651184082031
2010-03-15,38.76744079589844
2010-03-16,38.983516693115234
2010-03-17,39.34709167480469
2010-03-18,39.39452362060547
2010-03-19,39.51043701171875
2010-03-22,39.23641586303711
2010-03-23,39.39980697631836
2010-03-24,38.9571533203125
2010-03-25,38.88865661621094
2010-03-26,39.22062301635742
2010-03-29,39.6422004699707
2010-03-30,39.67906188964844
2010-03-31,39.9583740234375
2010-04-01,40.4115104675293
2010-04-05,40.92266845703125
2010-04-06,41.038597106933594
2010-04-07,40.769840240478516
2010-04-08,40.92266845703125
2010-04-09,41.89225769042969
2010-04-12,42.3823127746582
2010-04-13,42.266387939453125
2010-04-14,42.46135330200195
2010-04-15,42.993568420410156
2010-04-16,42.550926208496094
2010-04-19,42.85129165649414
2010-04-20,43.23596954345703
2010-04-21,43.167457580566406
2010-04-22,42.788047790527344
2010-04-23,43.56267166137695
2010-04-26,43.5205078125
2010-04-27,42.27692794799805
2010-04-28,42.482421875
2010-04-29,43.362430572509766
2010-04-30,42.91451644897461
2010-05-03,43.64697265625
2010-05-04,42.556190490722656
2010-05-05,42.25582504272461
2010-05-06,40.680267333984375
2010-05-07,40.62759017944336
2010-05-10,42.097740173339844
2010-05-11,41.99763107299805
2010-05-12,42.18731689453125
2010-05-13,41.58665084838867
2010-05-14,41.012245178222656
2010-05-17,41.34200668334961
2010-05-18,40.87396240234375
2010-05-19,40.74098587036133
2010-05-20,39.145381927490234
2010-05-21,39.613441467285156
2010-05-24,39.0602912902832
2010-05-25,38.597572326660156
2010-05-26,38.05506134033203
2010-05-27,39.54961013793945
2010-05-28,39.288997650146484
2010-06-01,38.44865798950195
2010-06-02,39.42728805541992
2010-06-03,39.31027603149414
2010-06-04,37.91145706176758
2010-06-07,37.948692321777344
2010-06-08,37.77317810058594
2010-06-09,37.650856018066406
2010-06-10,39.44854736328125
2010-06-11,39.39006423950195
2010-06-14,39.45387649536133
2010-06-15,40.012351989746094
2010-06-16,39.8633918762207
2010-06-17,40.06019973754883
2010-06-18,40.166568756103516
2010-06-21,40.272953033447266
2010-06-22,39.358116149902344
2010-06-23,38.43269348144531
2010-06-24,37.672119140625
2010-06-25,37.26256561279297
2010-06-28,37.20939636230469
2010-06-29,36.35842514038086
2010-06-30,36.09247970581055
2010-07-01,35.890380859375
2010-07-02,35.79994583129883
2010-07-06,35.93291091918945
2010-07-07,36.938133239746094
2010-07-08,37.44873046875
2010-07-09,38.20930480957031
2010-07-12,38.214630126953125
2010-07-13,38.948604583740234
2010-07-14,38.852867126464844
2010-07-15,38.8475456237793
2010-07-16,38.028480529785156
2010-07-19,38.29439926147461
2010-07-20,38.87945556640625
2010-07-21,38.38482666015625
2010-07-22,39.0602912902832
2010-07-23,39.102848052978516
2010-07-26,39.68790054321289
2010-07-27,40.04955291748047
2010-07-28,40.18785095214844
2010-07-29,40.4325065612793
2010-07-30,40.5335693359375
2010-08-02,41.379234313964844
2010-08-03,41.836639404296875
2010-08-04,42.028106689453125
2010-08-05,42.05470657348633
2010-08-06,41.8739013671875
2010-08-09,42.171714782714844
2010-08-10,42.03874969482422
2010-08-11,41.02286911010742
2010-08-12,40.99095916748047
2010-08-13,41.1664924621582
2010-08-16,41.33136749267578
2010-08-17,41.75010681152344
2010-08-18,41.35821533203125
2010-08-19,40.7140007019043
2010-08-20,40.289894104003906
2010-08-23,40.289894104003906
2010-08-24,39.60811233520508
2010-08-25,39.763797760009766
2010-08-26,39.36652374267578
2010-08-27,40.225460052490234
2010-08-30,39.60811233520508
2010-08-31,39.76915740966797
2010-09-01,41.21326446533203
2010-09-02,41.578311920166016
2010-09-03,41.873565673828125
2010-09-07,41.36357879638672
2010-09-08,41.470943450927734
2010-09-09,41.52999496459961
2010-09-10,42.313785552978516
2010-09-13,42.54462814331055
2010-09-14,42.68419647216797
2010-09-15,42.52315139770508
2010-09-16,42.4372673034668
2010-09-17,42.12052536010742
2010-09-20,42.89356994628906
2010-09-21,42.81303787231445
2010-09-22,42.54462814331055
2010-09-23,42.16346740722656
2010-09-24,43.01167678833008
2010-09-27,42.990203857421875
2010-09-28,43.419654846191406
2010-09-29,43.63440704345703
2010-09-30,43.51093292236328
2010-10-01,43.99412155151367
2010-10-04,43.6505126953125
2010-10-05,44.767147064208984
2010-10-06,45.03556442260742
2010-10-07,44.83693313598633
2010-10-08,45.06241989135742
2010-10-11,44.93894958496094
2010-10-12,45.00872802734375
2010-10-13,44.917449951171875
2010-10-14,45.04093551635742
2010-10-15,44.88523864746094
2010-10-18,45.352298736572266
2010-10-19,44.44504928588867
2010-10-20,45.1053581237793
2010-10-21,45.22883224487305
2010-10-22,45.389869689941406
2010-10-25,45.56169128417969
2010-10-26,45.71198654174805
2010-10-27,45.26107406616211
2010-10-28,45.330848693847656
2010-10-29,44.34303283691406
2010-11-01,43.72568893432617
2010-11-02,44.1014518737793
2010-11-03,44.396724700927734
2010-11-04,45.706634521484375
2010-11-05,45.620723724365234
2010-11-08,45.52409744262695
2010-11-09,44.85841369628906
2010-11-10,45.72270965576172
2010-11-11,46.216609954833984
2010-11-12,45.867671966552734
2010-11-15,45.556304931640625
2010-11-16,44.65754318237305
2010-11-17,44.64669418334961
2010-11-18,45.38304138183594
2010-11-19,45.44802474975586
2010-11-22,45.18272018432617
2010-11-23,44.26226806640625
2010-11-24,44.90117263793945
2010-11-26,44.42469787597656
2010-11-29,44.22978973388672
2010-11-30,43.83994674682617
2010-12-01,44.77663040161133
2010-12-02,45.751216888427734
2010-12-03,45.96238327026367
2010-12-06,45.9948616027832
2010-12-07,46.725799560546875
2010-12-08,46.639163970947266
2010-12-09,46.91530990600586
2010-12-10,47.12104797363281
2010-12-13,47.8465576171875
2010-12-14,47.85198211669922
2010-12-15,47.65165328979492
2010-12-16,48.22017288208008
2010-12-17,47.911529541015625
2010-12-20,48.07939910888672
2010-12-21,48.31221389770508
2010-12-22,48.68581008911133
2010-12-23,49.09728240966797
2010-12-27,48.79405975341797
2010-12-28,49.37343215942383
2010-12-29,49.47087097167969
2010-12-30,49.59539794921875
2010-12-31,49.40590286254883
2011-01-03,49.77951431274414
2011-01-04,49.59539794921875
2011-01-05,49.5087776184082
2011-01-06,49.10268783569336
2011-01-07,49.37343215942383
2011-01-10,48.95108413696289
2011-01-11,49.719932556152344
2011-01-12,50.05560302734375
