Date,XOM,CVX
2010-01-04,37.63097381591797,41.265445709228516
2010-01-05,37.77790832519531,41.55775451660156
2010-01-06,38.10441970825195,41.56294250488281
2010-01-07,37.98469161987305,41.4063720703125
2010-01-08,37.83231735229492,41.479461669921875
2010-01-11,38.25678253173828,42.21539306640625
2010-01-12,38.06631851196289,41.97007369995117
2010-01-13,37.913944244384766,41.651702880859375
2010-01-14,37.91939163208008,41.52121353149414
2010-01-15,37.60919952392578,41.35418701171875
2010-01-19,37.69628143310547,41.58906555175781
2010-01-20,37.02145767211914,40.79048156738281
2010-01-21,36.29771423339844,39.79354476928711
2010-01-22,35.97117614746094,38.93232345581055
2010-01-25,35.83512496948242,38.91145324707031
2010-01-26,35.87322998046875,38.70267105102539
2010-01-27,35.66642761230469,38.4677848815918
2010-01-28,35.3508186340332,38.22768783569336
2010-01-29,35.062374114990234,37.64311599731445
2010-02-01,36.01472091674805,38.4051513671875
2010-02-02,36.4391975402832,38.859249114990234
2010-02-03,36.24327850341797,38.212039947509766
2010-02-04,35.22019577026367,37.25164794921875
2010-02-05,35.263729095458984,37.1524772644043
2010-02-08,35.2473030090332,36.60441970825195
2010-02-09,35.71287155151367,37.22031784057617
2010-02-10,35.52117156982422,36.92802429199219
2010-02-11,35.73479080200195,37.43955612182617
2010-02-12,35.493778228759766,37.41846466064453
2010-02-16,36.30445098876953,38.46181106567383
2010-02-17,36.01961898803711,38.382789611816406
2010-02-18,36.129150390625,38.7938117980957
2010-02-19,36.079872131347656,39.020389556884766
2010-02-22,35.82243347167969,38.44602584838867
2010-02-23,35.57046890258789,37.961219787597656
2010-02-24,35.904598236083984,38.11930465698242
2010-02-25,35.68001174926758,37.99811935424805
2010-02-26,35.603336334228516,38.09823989868164
2010-03-01,35.82243347167969,38.36697769165039
2010-03-02,35.8717155456543,38.63571548461914
2010-03-03,35.83885955810547,38.53558349609375
2010-03-04,35.82243347167969,38.50925064086914
2010-03-05,36.40850067138672,39.15210723876953
2010-03-08,36.41399383544922,39.33129119873047
2010-03-09,36.57831573486328,39.15210723876953
2010-03-10,36.8193359375,38.97296142578125
2010-03-11,36.8193359375,38.98878479003906
2010-03-12,36.58927917480469,38.84651184082031
2010-03-15,36.315391540527344,38.76744079589844
2010-03-16,36.463287353515625,38.983516693115234
2010-03-17,36.89601516723633,39.34709167480469
2010-03-18,36.91244888305664,39.39452362060547
2010-03-19,36.72073745727539,39.51043701171875
2010-03-22,36.682376861572266,39.23641586303711
2010-03-23,36.67143630981445,39.39980697631836
2010-03-24,36.424949645996094,38.9571533203125
2010-03-25,36.315391540527344,38.88865661621094
2010-03-26,36.446868896484375,39.22062301635742
2010-03-29,36.86315155029297,39.6422004699707
2010-03-30,36.72621536254883,39.67906188964844
2010-03-31,36.687870025634766,39.9583740234375
2010-04-01,37.03295135498047,40.4115104675293
2010-04-05,37.35063171386719,40.92266845703125
2010-04-06,37.1917839050293,41.038597106933594
2010-04-07,36.88504409790039,40.769840240478516
2010-04-08,37.16987609863281,40.92266845703125
2010-04-09,37.66284942626953,41.89225769042969
2010-04-12,37.63544845581055,42.3823127746582
2010-04-13,37.60808181762695,42.266387939453125
2010-04-14,37.5806884765625,42.46135330200195
2010-04-15,37.388980865478516,42.993568420410156
2010-04-16,37.208229064941406,42.550926208496094
2010-04-19,37.37254333496094,42.85129165649414
2010-04-20,37.777870178222656,43.23596954345703
2010-04-21,37.7504997253418,43.167457580566406
2010-04-22,37.55329895019531,42.788047790527344
2010-04-23,37.92576217651367,43.56267166137695
2010-04-26,37.95315170288086,43.5205078125
2010-04-27,37.39445877075195,42.27692794799805
2010-04-28,37.89838409423828,42.482421875
2010-04-29,37.60808181762695,43.362430572509766
2010-04-30,37.12058639526367,42.91451644897461
2010-05-03,37.15892791748047,43.64697265625
2010-05-04,36.40850067138672,42.556190490722656
2010-05-05,36.24420166015625,42.25582504272461
2010-05-06,34.99534225463867,40.680267333984375
2010-05-07,34.89126205444336,40.62759017944336
2010-05-10,35.72930145263672,42.097740173339844
2010-05-11,35.54732894897461,41.99763107299805
2010-05-12,35.79549026489258,42.18731689453125
2010-05-13,35.70172882080078,41.58665084838867
2010-05-14,35.073081970214844,41.012245178222656
2010-05-17,34.89109802246094,41.34200668334961
2010-05-18,34.626373291015625,40.87396240234375
2010-05-19,34.43888854980469,40.74098587036133
2010-05-20,33.26979446411133,39.145381927490234
2010-05-21,33.57308578491211,39.613441467285156
2010-05-24,33.19256591796875,39.0602912902832
2010-05-25,32.92787551879883,38.597572326660156
2010-05-26,32.70728302001953,38.05506134033203
2010-05-27,33.892948150634766,39.54961013793945
2010-05-28,33.34147262573242,39.288997650146484
2010-06-01,32.67420196533203,38.44865798950195
2010-06-02,33.512420654296875,39.42728805541992
