pair,start_date,end_date,n_obs,columns,missing_total,missing_pct_total
KO-PEP,2010-01-04,2025-12-31,4024,"KO, PEP",0,0.0
XOM-CVX,2010-01-04,2025-12-31,4024,"XOM, CVX",0,0.0
