feature,importance_mean,importance_std
adf_pvalue,0.08402777777777785,0.044887722295348695
abs_zscore,0.07935363247863252,0.04340733046470999
zscore_lag3,0.04676816239316247,0.030682802310908697
delta_zscore,0.04075854700854709,0.03269741350275108
zscore_lag1,0.026121794871794963,0.019014317837312
spread_volatility,-0.016079059829059765,0.03003205888344533
spread_autocorr,-0.017975427350427266,0.049803767383497455
