pair,strategy,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,win_rate_daily,avg_daily_return,turnover,trades,exits,active_days,active_ratio
KO-PEP,S1_OLS_zscore,0.05996375581706648,0.0038981262995934074,0.040009263585345414,0.09743059357436443,-0.13769153162709835,0.12778366914103922,1.8611506882393828e-05,64.0,49,49,970,0.25715800636267233
KO-PEP,S2_Kalman_zscore,0.06398736102564118,0.0041522673531748655,0.03600053580332001,0.11533904317035024,-0.12737397548484553,0.06972428419936373,1.9009107967669456e-05,220.3833370728862,110,110,531,0.14077412513255566
KO-PEP,S3_OLS_ML,0.025911285402979933,0.0017104966757004458,0.03417810147460512,0.05004656788708326,-0.1340099388068382,0.09676564156945917,9.098336431657859e-06,68.0,36,36,714,0.18928950159066807
KO-PEP,S4_Kalman_ML,-0.08038842468088825,-0.0055831319135286606,0.03176970024070291,-0.17573763275158724,-0.16037279809814053,0.05434782608695652,-2.0213561558064746e-05,164.29183501794074,82,82,419,0.11108165429480382
XOM-CVX,S1_OLS_zscore,0.0849146767789255,0.005459797359546492,0.04813260521381064,0.11343240897294955,-0.1350664210814453,0.1428950159066808,2.619754489538263e-05,69.0,53,52,1043,0.27651113467656413
XOM-CVX,S2_Kalman_zscore,-0.027675420282728735,-0.001873251575842505,0.03988955740041113,-0.046960951635507446,-0.13692263256539072,0.06521739130434782,-4.281969557519044e-06,218.40952386686905,109,109,481,0.1275185577942736
XOM-CVX,S3_OLS_ML,0.2853474616671754,0.016912184434307864,0.04348832533651848,0.3888902206152828,-0.0646800870307761,0.11346765641569459,7.029627986017848e-05,68.0,41,41,817,0.21659597030752917
XOM-CVX,S4_Kalman_ML,0.07947478265887642,0.005122194130352975,0.02702678018215979,0.18952291378512426,-0.0684900080057258,0.03234358430540827,2.172726165844222e-05,110.198767757587,55,55,218,0.057794273594909865
