Date,pair,return_y,return_x,OLS_spread,OLS_zscore,OLS_beta,OLS_alpha,Kalman_spread,Kalman_zscore,Kalman_beta_t,Kalman_alpha_t
2010-01-04,KO-PEP,,,-0.07341862178060676,,0.7943230953448571,0.0434967723696601,-0.7760575517446151,,1.0,0.0
2010-01-05,KO-PEP,-0.01217036388028836,0.012011053033432972,-0.09512964248476274,,0.7943230953448571,0.0434967723696601,-0.022342704465363017,,0.8013226652108586,-0.05476663174910002
2010-01-06,KO-PEP,-0.0003554012014550523,-0.010053230753561238,-0.0874995303158328,,0.7943230953448571,0.0434967723696601,-0.0027360743262754283,,0.7973923318090715,-0.05240698556694323
2010-01-07,KO-PEP,-0.0024881087885963993,-0.006376427492011949,-0.08492269548173237,,0.7943230953448571,0.0434967723696601,0.0009600699518750311,,0.7971616305283926,-0.05267082679976989
2010-01-08,KO-PEP,-0.018682156336466083,-0.003285614076155685,-0.10099501267511757,,0.7943230953448571,0.0434967723696601,-0.015440615492886778,,0.7972085898449351,-0.05250312510922389
2010-01-11,KO-PEP,0.020104531233557044,-0.00115290874809304,-0.07997469939612545,,0.7943230953448571,0.0434967723696601,0.010678813879523297,,0.7965686766205022,-0.05528316411644083
2010-01-12,KO-PEP,0.010782102784311132,0.013906429264564757,-0.08023879455043748,,0.7943230953448571,0.0434967723696601,0.006957483858683222,,0.7970729814938325,-0.05368917435487648
2010-01-13,KO-PEP,0.002634136365249784,0.00809086417947702,-0.08403141846424456,,0.7943230953448571,0.0434967723696601,0.0009278465373681044,,0.7979381627332424,-0.05462440322021769
2010-01-14,KO-PEP,0.0017518773922371444,0.012014072517926966,-0.09182259634214507,,0.7943230953448571,0.0434967723696601,-0.007201783869887901,,0.7980764975307606,-0.0548347002969727
2010-01-15,KO-PEP,-0.01481278290260546,-0.008154117863500954,-0.1001583751036077,,0.7943230953448571,0.0434967723696601,-0.013234574602602134,,0.7967466039774742,-0.05226000913336428
2010-01-19,KO-PEP,0.0023065404336275463,0.0006420955412420604,-0.0983618659878065,,0.7943230953448571,0.0434967723696601,-0.0072854753157400864,,0.7952581172337314,-0.05098810031885455
2010-01-20,KO-PEP,-0.016440084171482017,-0.006114914360952017,-0.10994473245632852,,0.7943230953448571,0.0434967723696601,-0.01658269268407464,,0.7944908758569511,-0.050475860124198746
2010-01-21,KO-PEP,-0.020570495237047126,-0.016438081272061034,-0.1174580800958216,,0.7943230953448571,0.0434967723696601,-0.018926155505416986,,0.793363768250958,-0.05155970492559904
2010-01-22,KO-PEP,-0.0023944212288831146,-0.009066127581170313,-0.11265106680163806,,0.7943230953448571,0.0434967723696601,-0.008220414360217365,,0.7935061426422689,-0.0579816328884008
2010-01-25,KO-PEP,0.002026537295292119,-0.002653350212612704,-0.10851691215242942,,0.7943230953448571,0.0434967723696601,-0.0015236115900449931,,0.7937039608583256,-0.06126078557980639
2010-01-26,KO-PEP,-0.003871148552133441,0.0003322859074561535,-0.11265200307511325,,0.7943230953448571,0.0434967723696601,-0.0051838327297972775,,0.7937108714185556,-0.06176040649790383
2010-01-27,KO-PEP,0.006810783275549515,0.0006634169097341491,-0.10636818717280772,,0.7943230953448571,0.0434967723696601,0.002714073340173151,,0.7935897855737822,-0.06293671957088738
2010-01-28,KO-PEP,-0.006072646373502355,-0.009164115256387273,-0.10516156514975927,,0.7943230953448571,0.0434967723696601,0.003070479405565596,,0.7937097145412904,-0.06252531691522084
